Freq.	V(vout)/(V(vinp)-V(vinn))
1.00000000000000e+003	(4.76638289674030e+001dB,-8.13332674683890e-001°)
1.12201845430196e+003	(4.76636023584540e+001dB,-9.12558396549128e-001°)
1.25892541179417e+003	(4.76633170851943e+001dB,-1.02388493989461e+000°)
1.41253754462275e+003	(4.76629579735778e+001dB,-1.14878612895955e+000°)
1.58489319246111e+003	(4.76625059186374e+001dB,-1.28891450819821e+000°)
1.77827941003892e+003	(4.76619368815457e+001dB,-1.44612269229869e+000°)
1.99526231496888e+003	(4.76612206293894e+001dB,-1.62248713418172e+000°)
2.23872113856834e+003	(4.76603190677828e+001dB,-1.82033451242408e+000°)
2.51188643150958e+003	(4.76591843390729e+001dB,-2.04227099568151e+000°)
2.81838293126445e+003	(4.76577562262565e+001dB,-2.29121451693142e+000°)
3.16227766016838e+003	(4.76559590054511e+001dB,-2.57043025838014e+000°)
3.54813389233575e+003	(4.76536974980909e+001dB,-2.88356942257882e+000°)
3.98107170553497e+003	(4.76508520898403e+001dB,-3.23471125450673e+000°)
4.46683592150963e+003	(4.76472725923050e+001dB,-3.62840815734745e+000°)
5.01187233627272e+003	(4.76427704508366e+001dB,-4.06973338223262e+000°)
5.62341325190348e+003	(4.76371092469442e+001dB,-4.56433057485545e+000°)
6.30957344480192e+003	(4.76299926725062e+001dB,-5.11846364481571e+000°)
7.07945784384137e+003	(4.76210499648247e+001dB,-5.73906503442975e+000°)
7.94328234724280e+003	(4.76098179112114e+001dB,-6.43377906716923e+000°)
8.91250938133744e+003	(4.75957187683691e+001dB,-7.21099566929331e+000°)
9.99999999999999e+003	(4.75780338347850e+001dB,-8.07986815025913e+000°)
1.12201845430196e+004	(4.75558717594136e+001dB,-9.05030579139689e+000°)
1.25892541179417e+004	(4.75281311768973e+001dB,-1.01329289926685e+001°)
1.41253754462275e+004	(4.74934579401132e+001dB,-1.13389713823111e+001°)
1.58489319246111e+004	(4.74501969069132e+001dB,-1.26801081777260e+001°)
1.77827941003892e+004	(4.73963401667625e+001dB,-1.41681868166511e+001°)
1.99526231496888e+004	(4.73294746077141e+001dB,-1.58148323925689e+001°)
2.23872113856833e+004	(4.72467338094108e+001dB,-1.76309000158004e+001°)
2.51188643150957e+004	(4.71447618686115e+001dB,-1.96257509972650e+001°)
2.81838293126445e+004	(4.70197002848114e+001dB,-2.18063444513531e+001°)
3.16227766016837e+004	(4.68672111020708e+001dB,-2.41761606483975e+001°)
3.54813389233575e+004	(4.66825518317265e+001dB,-2.67340149613312e+001°)
3.98107170553496e+004	(4.64607159682769e+001dB,-2.94728749716773e+001°)
4.46683592150962e+004	(4.61966473797916e+001dB,-3.23788537840722e+001°)
5.01187233627271e+004	(4.58855251355572e+001dB,-3.54305993798742e+001°)
5.62341325190348e+004	(4.55230983659711e+001dB,-3.85993073693754e+001°)
6.30957344480192e+004	(4.51060325925829e+001dB,-4.18495307083452e+001°)
7.07945784384136e+004	(4.46322146101859e+001dB,-4.51408309588960e+001°)
7.94328234724279e+004	(4.41009606405939e+001dB,-4.84301365792655e+001°)
8.91250938133743e+004	(4.35130863016473e+001dB,-5.16745002378835e+001°)
9.99999999999997e+004	(4.28708233774768e+001dB,-5.48338360586087e+001°)
1.12201845430196e+005	(4.21776010507540e+001dB,-5.78732259843882e+001°)
1.25892541179416e+005	(4.14377350947320e+001dB,-6.07644988049884e+001°)
1.41253754462275e+005	(4.06560806251664e+001dB,-6.34869650398164e+001°)
1.58489319246111e+005	(3.98377003046141e+001dB,-6.60273661272761e+001°)
1.77827941003892e+005	(3.89875852986346e+001dB,-6.83792192369356e+001°)
1.99526231496887e+005	(3.81104474984853e+001dB,-7.05417860880393e+001°)
2.23872113856833e+005	(3.72105853038180e+001dB,-7.25188839182991e+001°)
2.51188643150957e+005	(3.62918139325094e+001dB,-7.43177046754167e+001°)
2.81838293126444e+005	(3.53574461214516e+001dB,-7.59477519245696e+001°)
3.16227766016837e+005	(3.44103079436178e+001dB,-7.74199478743221e+001°)
3.54813389233574e+005	(3.34527764071903e+001dB,-7.87459256257849e+001°)
3.98107170553496e+005	(3.24868283432043e+001dB,-7.99374958444451e+001°)
4.46683592150961e+005	(3.15140931059589e+001dB,-8.10062639038643e+001°)
5.01187233627270e+005	(3.05359042704987e+001dB,-8.19633698610138e+001°)
5.62341325190347e+005	(2.95533475113729e+001dB,-8.28193239126506e+001°)
6.30957344480191e+005	(2.85673032878204e+001dB,-8.35839133415149e+001°)
7.07945784384135e+005	(2.75784839071507e+001dB,-8.42661611846596e+001°)
7.94328234724278e+005	(2.65874651123507e+001dB,-8.48743210216081e+001°)
8.91250938133742e+005	(2.55947126699971e+001dB,-8.54158961926870e+001°)
9.99999999999995e+005	(2.46006045455966e+001dB,-8.58976743032013e+001°)
1.12201845430196e+006	(2.36054493573207e+001dB,-8.63257712700209e+001°)
1.25892541179416e+006	(2.26095017153847e+001dB,-8.67056800962592e+001°)
1.41253754462275e+006	(2.16129750671606e+001dB,-8.70423217694058e+001°)
1.58489319246111e+006	(2.06160525533043e+001dB,-8.73400963647161e+001°)
1.77827941003891e+006	(1.96188963747058e+001dB,-8.76029334512098e+001°)
1.99526231496887e+006	(1.86216560717451e+001dB,-8.78343415691767e+001°)
2.23872113856833e+006	(1.76244760797057e+001dB,-8.80374570234404e+001°)
2.51188643150957e+006	(1.66275028944889e+001dB,-8.82150929081426e+001°)
2.81838293126444e+006	(1.56308920934317e+001dB,-8.83697896744337e+001°)
3.16227766016836e+006	(1.46348154707032e+001dB,-8.85038692337217e+001°)
3.54813389233573e+006	(1.36394683910436e+001dB,-8.86194951826282e+001°)
3.98107170553495e+006	(1.26450774561208e+001dB,-8.87187426019134e+001°)
4.46683592150961e+006	(1.16519083603136e+001dB,-8.88036816317758e+001°)
5.01187233627269e+006	(1.06602736133902e+001dB,-8.88764799336037e+001°)
5.62341325190346e+006	(9.67053949055005e+000dB,-8.89395298541784e+001°)
6.30957344480190e+006	(8.68313103887867e+000dB,-8.89956061490448e+001°)
7.07945784384134e+006	(7.69853341398891e+000dB,-8.90480593223943e+001°)
7.94328234724277e+006	(6.71728699484820e+000dB,-8.91010466410622e+001°)
8.91250938133740e+006	(5.73997294868858e+000dB,-8.91597969703422e+001°)
9.99999999999994e+006	(4.76718526656004e+000dB,-8.92308954318637e+001°)
1.12201845430196e+007	(3.79948526704677e+000dB,-8.93225588386942e+001°)
1.25892541179416e+007	(2.83733573333781e+000dB,-8.94448540158438e+001°)
1.41253754462275e+007	(1.88101483995786e+000dB,-8.96097921045697e+001°)
1.58489319246110e+007	(9.30515380584756e-001dB,-8.98312211353396e+001°)
1.77827941003891e+007	(-1.45580912789573e-002dB,-9.01244479102496e+001°)
1.99526231496887e+007	(-9.55074355517868e-001dB,-9.05055601606257e+001°)
2.23872113856833e+007	(-1.89241925846017e+000dB,-9.09904935832549e+001°)
2.51188643150956e+007	(-2.82847788672072e+000dB,-9.15939808715119e+001°)
2.81838293126443e+007	(-3.76554771227531e+000dB,-9.23285959195366e+001°)
3.16227766016836e+007	(-4.70619460472322e+000dB,-9.32041232438702e+001°)
3.54813389233573e+007	(-5.65308288190341e+000dB,-9.42274147689213e+001°)
3.98107170553494e+007	(-6.60882042442883e+000dB,-9.54027589191197e+001°)
4.46683592150960e+007	(-7.57585568190789e+000dB,-9.67326337520069e+001°)
5.01187233627269e+007	(-8.55644658462389e+000dB,-9.82186102200372e+001°)
5.62341325190345e+007	(-9.55269977142339e+000dB,-9.98621495501471e+001°)
6.30957344480189e+007	(-1.05666605036224e+001dB,-1.01665093394893e+002°)
7.07945784384133e+007	(-1.16004239428306e+001dB,-1.03629740442945e+002°)
7.94328234724275e+007	(-1.26562370585348e+001dB,-1.05758499263892e+002°)
8.91250938133739e+007	(-1.37365641985463e+001dB,-1.08053182804187e+002°)
9.99999999999992e+007	(-1.48440952122163e+001dB,-1.10514063407000e+002°)
1.12201845430195e+008	(-1.59816815510145e+001dB,-1.13138848890454e+002°)
1.25892541179416e+008	(-1.71521937691728e+001dB,-1.15921778008280e+002°)
1.41253754462274e+008	(-1.83583050838913e+001dB,-1.18853064320242e+002°)
1.58489319246110e+008	(-1.96022214210490e+001dB,-1.21918922871971e+002°)
1.77827941003891e+008	(-2.08853972178754e+001dB,-1.25102366166103e+002°)
1.99526231496886e+008	(-2.22082933273735e+001dB,-1.28384831072333e+002°)
2.23872113856832e+008	(-2.35702404057669e+001dB,-1.31748498220004e+002°)
2.51188643150956e+008	(-2.49694602203894e+001dB,-1.35178930735838e+002°)
